pbindaff,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.16,7.16,8.16,16.16,6.15,7.15,8.15,16.15,6.9,7.9,8.9,16.9,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,gauss1_inter,gauss2_inter,repulsion_inter,hydrophobic_inter,hydrogenbonding_inter,gauss1_intra,gauss2_intra,repulsion_intra,hydrophobic_intra,hydrogenbonding_intra,flexibility,ECFP_2,ECFP_3,ECFP_35,ECFP_75,ECFP_81,ECFP_95,ECFP_115,ECFP_119,ECFP_120,ECFP_122,ECFP_137,ECFP_146,ECFP_148,ECFP_153,ECFP_163,ECFP_165,ECFP_166,ECFP_181,ECFP_185,ECFP_192,ECFP_217,ECFP_223,ECFP_238,ECFP_244,ECFP_250,ECFP_253,ECFP_284,ECFP_290,ECFP_295,ECFP_311,ECFP_315,ECFP_319,ECFP_323,ECFP_324,ECFP_353,ECFP_367,ECFP_379,ECFP_382,ECFP_388,ECFP_390,ECFP_393,ECFP_422,ECFP_457,ECFP_465,ECFP_469,ECFP_472,ECFP_487,ECFP_492,ECFP_505,ECFP_525,ECFP_543,ECFP_562,ECFP_563,ECFP_565,ECFP_566,ECFP_581,ECFP_587,ECFP_599,ECFP_609,ECFP_610,ECFP_626,ECFP_657,ECFP_665,ECFP_673,ECFP_675,ECFP_676,ECFP_695,ECFP_696,ECFP_700,ECFP_719,ECFP_737,ECFP_740,ECFP_772,ECFP_782,ECFP_786,ECFP_791,ECFP_795,ECFP_803,ECFP_804,ECFP_810,ECFP_838,ECFP_842,ECFP_844,ECFP_848,ECFP_851,ECFP_856,ECFP_868,ECFP_876,ECFP_879,ECFP_891,ECFP_897,ECFP_927,ECFP_936,ECFP_948,ECFP_951,ECFP_956,ECFP_962,ECFP_975,ECFP_981,ECFP_985,ECFP_988,ECFP_1018,ECFP_1020,ECFP_1027,ECFP_1028,ECFP_1029,ECFP_1033,ECFP_1040,ECFP_1048,ECFP_1058,ECFP_1089,ECFP_1098,ECFP_1115,ECFP_1137,ECFP_1146,ECFP_1153,ECFP_1161,ECFP_1163,ECFP_1199,ECFP_1200,ECFP_1211,ECFP_1216,ECFP_1225,ECFP_1234,ECFP_1296,ECFP_1326,ECFP_1333,ECFP_1351,ECFP_1357,ECFP_1358,ECFP_1360,ECFP_1385,ECFP_1392,ECFP_1400,ECFP_1411,ECFP_1413,ECFP_1415,ECFP_1439,ECFP_1443,ECFP_1446,ECFP_1448,ECFP_1453,ECFP_1454,ECFP_1481,ECFP_1487,ECFP_1488,ECFP_1497,ECFP_1536,ECFP_1537,ECFP_1574,ECFP_1581,ECFP_1586,ECFP_1600,ECFP_1603,ECFP_1610,ECFP_1635,ECFP_1648,ECFP_1671,ECFP_1684,ECFP_1697,ECFP_1723,ECFP_1725,ECFP_1735,ECFP_1739,ECFP_1746,ECFP_1748,ECFP_1751,ECFP_1755,ECFP_1763,ECFP_1764,ECFP_1778,ECFP_1817,ECFP_1824,ECFP_1826,ECFP_1841,ECFP_1853,ECFP_1854,ECFP_1856,ECFP_1857,ECFP_1867,ECFP_1916,ECFP_1918,ECFP_1929,ECFP_1948,ECFP_1957,ECFP_1965,ECFP_1970,ECFP_1971,ECFP_1979,ECFP_1992,ECFP_1999,ECFP_2000,ECFP_2005,ECFP_2035,PDB
6.0,-0.6981594280829672,-0.7147366019883852,-0.7584895208982567,-1.040384176785791,-1.5439943558556457,-1.5043340275738382,-1.5408806545654468,-1.4271740626863398,0.0394628157387125,0.0777708485831004,0.0780265923225326,-0.4756973948314628,3.020172011943996,3.4446283017228456,3.6379844504035694,1.2858989595114032,7.316505313330946,0.0,0.0,0.0,-0.962041358088694,-0.9548702546206258,-0.9570051839231772,-0.9248503483296688,-0.517114115410866,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-1.2873619341876288,-1.0166011877027925,-0.9016321662129888,-1.5165539132216193,1.1936832586486306,-0.858113928196268,-1.1415468002534468,-0.1368008318378425,-0.0484121384206818,0.4103326353078537,0.4099682710495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,a001
6.52,-0.8365817028783697,-0.7779105597346389,-0.7450619994774792,-1.040384176785791,-1.5367535141022473,-1.5201956263733185,-1.5556879212072403,-1.4271740626863398,0.0660489865632618,0.1524908104702362,0.2220502904347311,-0.4756973948314628,2.9591840307391264,3.4446283017228456,3.305387244663839,1.2858989595114032,7.316505313330946,0.0,0.0,0.0,-0.962041358088694,-0.9548702546206258,-0.9570051839231772,-0.9248503483296688,-0.517114115410866,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-1.5317622334711654,-1.0749082308841196,-0.6988422922788281,-1.2372137678105823,1.6809047714714518,-0.7404244721708687,-1.178377191955584,-0.1905291444792914,-0.0791886908304029,0.6149614613759147,0.4099682710495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,a002
6.48,-1.0965454872502234,-1.163973634850633,-1.1076050778384714,-1.1996080312403787,-0.819910180515818,-0.8381468779956766,-0.8005173224757539,-1.0675987321365763,-0.7758464228807997,-0.5573488274575539,-0.660094860502484,-0.4756973948314628,-0.3494139496250319,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,-0.962041358088694,-0.9548702546206258,-0.9570051839231772,-0.9248503483296688,4.989685022071284,4.860722920383264,4.97271031033344,5.589073774528913,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-1.1663462653715428,-0.8402935432155401,-0.8944897676214602,-1.203443721147773,0.2473181342718679,-0.8180097510229059,-1.0083016076734372,0.2872354000115872,-0.248591599611663,1.479383948584669,1.1582153979336032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a003
7.96,-0.5631133063313548,-0.4690600996418432,-0.5436491781658169,-0.2442649045128544,-0.7945672343789241,-0.7905620815972364,-0.78571005583396,-0.7080234015868127,-0.8777600777082388,-0.8935886559496651,-0.7681126340866329,-1.3536370605965635,-0.3646609449262492,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,0.066133786801778,-0.0309432731967508,-0.0081620294516813,0.0876112939760226,-0.5071017533427167,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-0.6739462015550558,-0.6845241541718097,-0.720088667835907,-1.0057811578149214,0.6168491337301127,-0.6098362228871902,-0.7677721950993204,0.4232393994297911,-0.3449179482216538,1.461069912838721,0.4099682710495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,a004
8.4,-0.5057187045869196,-0.4339634564494801,-0.5302216567450395,-0.2442649045128544,-0.7945672343789241,-0.7905620815972364,-0.78571005583396,-0.7080234015868127,-0.8733290492374807,-0.8935886559496651,-0.7681126340866329,-1.3536370605965635,-0.3646609449262492,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,0.066133786801778,-0.0309432731967508,-0.0182561055630802,0.0876112939760226,1.3852346775375128,1.3679399453814436,1.4384836698679515,1.5223860911960858,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-0.3471893622445587,-0.5042993367851105,-0.6097431301022276,-0.8563651737453585,0.642452737186026,-0.3319827397526923,-0.6107189100482175,0.549548064236004,0.4837361606610487,1.448372181388197,0.4099682710495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,a005
8.3,-0.4820856332803874,-0.4760794282803158,-0.4966528531930957,-0.2442649045128544,-0.7945672343789241,-0.8064236803967164,-0.78571005583396,-0.7080234015868127,-0.8556049353544477,-0.912268646421449,-0.750109671822608,-1.3536370605965635,-0.3646609449262492,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,0.0587721509195074,-0.0309432731967508,-0.0081620294516813,0.0876112939760226,-0.5071017533427167,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-0.5227153715537838,-0.6892217445731753,-0.7864948927153724,-1.0344911349739827,0.5718814604335928,-0.6100889044715406,-0.7233532413303475,0.4804688051255699,0.0833772382790864,1.379023032696873,0.4099682710495282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,a006
7.64,0.8092929059694055,0.976921599883518,0.9938020245132052,0.5518543677600822,-0.7764651299954284,-0.8064236803967164,-0.78571005583396,-0.7080234015868127,-0.1023300953255504,-0.1463890370783069,-0.1020030303177152,-0.4756973948314628,-0.3646609449262492,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,0.0195100928807304,-0.0524299471833526,-0.028350181674479,0.0876112939760226,-0.517114115410866,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,0.2453465652400026,0.4616020846546815,-0.5967240744417197,0.0356975724342222,1.2954522034775973,-0.4469047308066325,-0.0759178183302906,-0.2880211202998653,0.6599557613405728,0.6281475671129974,-0.77907790583061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,a007
8.0,-0.2947091393500253,-0.0829970245258487,-0.1475372962528811,-0.7219364678766166,-1.5439943558556457,-1.5201956263733185,-1.5408806545654468,-1.4271740626863398,0.8724961682412579,0.8810104388698105,0.8161480451475495,0.8412121038161882,2.379798209292868,2.408996436736279,2.507153950888487,2.928573691830143,-0.1366772738041974,0.0,0.0,0.0,1.6243467152157396,1.5913006127916804,1.6371723767063384,0.8469575257052911,-0.5071017533427167,-0.5094309036820348,-0.5114344765957668,-0.510957750470328,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,0.2075836693864641,0.5116624480476988,-0.2178153086556888,-0.6145501455391016,0.7412094933731205,0.575541219127146,0.0354290634161537,1.5176002937582491,1.3724217913501882,-0.420392026128356,-0.4882987005811056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,a008
7.62,0.1728880572149324,0.2609500787593101,0.3224259534743308,-0.2442649045128544,0.0634725133987717,-0.0292053392221945,-0.163804856878618,0.0111272595127146,-0.8378808214714148,-0.8749086654778812,-0.8221215208787073,-1.3536370605965635,3.2031359555586034,3.030375555728219,2.906270597776163,2.928573691830143,7.316505313330946,0.0,0.0,0.0,-0.962041358088694,-0.9548702546206258,-0.9570051839231772,-0.9248503483296688,1.4853582982190063,1.4115997325689662,1.4791069645859456,1.5223860911960858,-0.1376288923598403,-0.1367950897038946,-0.1366995562228024,-0.1366772738041975,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,0.2204506676400883,0.1188952149689212,-0.063756483339679,-0.0159778276305946,0.8905279874773545,0.0225415555476213,-0.1971811731620234,0.6638722182023952,-1.0973103164925293,0.0911800390417965,-0.77907790583061,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,a009
3.879,-1.6873722699135274,-1.8097518695901151,-1.9535389273474528,-1.040384176785791,-1.6164027733896285,-1.5995036203707185,-1.6001097211326225,-1.4271740626863398,0.1723936698614591,0.1151308295266683,0.2400532526987558,0.4022422709336378,-0.3646609449262492,-0.3526885365612323,-0.3531820184731919,-0.3567757728073366,-0.1366772738041974,0.0,0.0,0.0,-0.962041358088694,-0.9548702546206258,-0.9570051839231772,-0.9248503483296688,0.7244187810396548,0.6257235631935567,0.6260177755080688,0.5057141703628789,5.717046771195921,5.119383585304237,5.410759178865344,7.316505313330947,-0.0260094386214269,-0.0239456571305287,-0.0239456571305287,-0.0239456571305287,-1.4749555988619814,-2.0102835278717337,-0.2322809260562531,0.0505003547751465,-0.154916627583846,-1.0508859121429937,-1.2686911934475869,-1.2543228032949454,-1.2510510641265875,-0.8858127212187192,1.673098321878585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a011
